Food_ID,Commodity,Category,Moisture_pct,Fat_pct,Protein_pct,pH,Respiration_Rate,Shelf_Life_Days,Storage_Temperature_C,Relative_Humidity_pct,Storage_Type,Transportation,Recommended_Packaging,Film_Thickness_um,OTR_Class,WVTR_Class,MAP_Suitable,raw_moisture_pct,is_flagged,flag_reason
F00011,Bread,Bakery,38.48,4.14,9.07,5.54,Very_Low,8,25.1,57.0,Ambient,Normal,LDPE_Bag,53,Medium,Medium,No,38.48,False,
F00012,Mango,Fresh Produce,85.78,0.27,0.71,3.94,High,20,11.5,76.0,Chilled,Refrigerated,Breathable_PE,45,High,High,Yes,85.78,False,
F00013,Carrot,Fresh Produce,86.94,0.14,0.69,6.15,High,30,5.0,91.0,Chilled,Refrigerated,Micro_Perforated_PE,35,High,High,Yes,86.94,False,
F00014,Onion,Vegetable,86.61,0.0,1.11,5.45,Low,116,20.0,63.0,Ambient,Normal,Breathable_PP,49,High,Medium,Yes,86.61,False,
F00015,Rice,Grain,12.1,0.9,7.41,6.27,Very_Low,351,25.1,49.0,Ambient,Long_Distance,HDPE,77,Low,Low,No,12.1,False,
F00016,Wheat Flour,Grain,12.42,1.36,13.23,6.36,Very_Low,171,24.7,60.0,Ambient,Normal,HDPE,77,Low,Low,No,12.42,False,
F00017,Ground Coffee,Beverage,3.22,14.57,13.77,5.13,Very_Low,373,23.8,63.0,Ambient,Normal,High_Barrier_Laminate,95,Very_Low,Very_Low,No,3.22,False,
F00018,Butter,Dairy,15.86,82.35,1.1,6.26,Very_Low,128,5.3,82.0,Chilled,Normal,Aluminum_Foil_Laminate,89,Very_Low,Very_Low,No,15.86,False,
F00019,Yogurt,Dairy,87.57,3.08,3.85,4.24,Very_Low,31,4.1,87.0,Chilled,Refrigerated,PP_Cup_Foil_Lid,52,Medium,Low,Yes,87.57,False,
F00020,Fish,Seafood,76.6,5.27,20.34,6.18,Very_Low,5,1.0,86.0,Chilled,Normal,PA_PE_Vacuum,90,Low,Very_Low,Yes,76.6,True,Proximate sum > 100%; 
F00021,Potato Chips,Snacks,2.0,29.66,5.92,6.07,Very_Low,188,25.5,63.0,Ambient,Normal,Metallized_PET_PE,71,Low,Very_Low,Yes,2.0,False,
F00022,Milk Powder,Dairy,3.59,25.4,26.69,6.57,Very_Low,387,25.3,81.0,Ambient,Long_Distance,Aluminum_Laminate,100,Very_Low,Very_Low,No,3.59,False,
F00023,Tomato,Fresh Produce,94.11,0.25,1.18,4.3,High,14,5.1,89.0,Chilled,Normal,Micro_Perforated_PE,38,High,High,Yes,94.11,False,
F00024,Apple,Fresh Produce,85.73,0.23,0.51,3.69,High,57,4.7,84.0,Chilled,Long_Distance,Micro_Perforated_PE,31,High,High,Yes,85.73,False,
F00025,Biscuits,Bakery,4.21,18.05,7.13,7.21,Very_Low,182,24.6,68.0,Ambient,Normal,BOPP_PE,60,Low,Low,No,4.21,False,
F00026,Fresh Chicken,Meat,72.81,8.43,22.54,5.6,Very_Low,6,3.3,75.0,Chilled,Long_Distance,PA_PE_Vacuum,92,Low,Very_Low,Yes,72.81,True,Proximate sum > 100%; 
F00027,Frozen Peas,Frozen Vegetable,79.46,0.42,5.21,6.02,Low,368,-18.9,84.0,Frozen,Normal,PE_Film,67,Medium,Low,Yes,79.46,False,
F00028,Coffee Powder,Beverage,2.88,15.27,13.16,5.05,Very_Low,355,25.4,59.0,Ambient,Long_Distance,Metallized_PET_PE,83,Very_Low,Very_Low,No,2.88,False,
F00029,Peanuts,Nuts,6.01,48.04,26.61,6.58,Very_Low,162,25.1,54.0,Ambient,Long_Distance,Metallized_PET_PE,84,Very_Low,Very_Low,No,6.01,False,
F00030,Cheese,Dairy,36.21,33.83,26.34,5.12,Very_Low,55,3.8,86.0,Chilled,Normal,PA_PE_Vacuum,93,Low,Very_Low,Yes,36.21,False,
F00031,Bread,Bakery,38.36,4.2,8.64,5.72,Very_Low,6,24.4,58.0,Ambient,Long_Distance,LDPE_Bag,59,Medium,Medium,No,38.36,False,
F00032,Mango,Fresh Produce,85.47,0.46,0.75,3.75,High,21,10.1,85.0,Chilled,Normal,Breathable_PE,44,High,High,Yes,85.47,False,
F00033,Carrot,Fresh Produce,90.14,0.35,0.93,6.11,High,31,5.5,76.0,Chilled,Normal,Micro_Perforated_PE,41,High,High,Yes,90.14,False,
F00034,Onion,Vegetable,90.53,0.11,1.14,5.49,Low,117,20.1,67.0,Ambient,Long_Distance,Breathable_PP,48,High,Medium,Yes,90.53,False,
F00035,Rice,Grain,11.63,0.62,7.41,6.5,Very_Low,375,24.9,59.0,Ambient,Normal,HDPE,77,Low,Low,No,11.63,False,
F00036,Wheat Flour,Grain,11.75,1.44,13.29,6.17,Very_Low,180,25.1,70.0,Ambient,Long_Distance,HDPE,77,Low,Low,No,11.75,False,
F00037,Ground Coffee,Beverage,3.05,15.48,14.32,4.87,Very_Low,349,25.4,65.0,Ambient,Long_Distance,High_Barrier_Laminate,79,Very_Low,Very_Low,No,3.05,False,
F00038,Butter,Dairy,15.79,83.31,0.98,6.3,Very_Low,118,3.7,95.0,Chilled,Normal,Aluminum_Foil_Laminate,95,Very_Low,Very_Low,No,15.79,True,Proximate sum > 100%; 
F00039,Yogurt,Dairy,87.44,2.92,3.83,4.43,Very_Low,33,4.2,85.0,Chilled,Long_Distance,PP_Cup_Foil_Lid,50,Medium,Low,Yes,87.44,False,
F00040,Fish,Seafood,75.46,4.92,19.72,6.23,Very_Low,4,1.3,79.0,Chilled,Normal,PA_PE_Vacuum,89,Low,Very_Low,Yes,75.46,True,Proximate sum > 100%; 
F00041,Potato Chips,Snacks,2.44,29.21,5.86,6.06,Very_Low,166,24.8,71.0,Ambient,Long_Distance,Metallized_PET_PE,70,Low,Very_Low,Yes,2.44,False,
F00042,Milk Powder,Dairy,4.38,26.6,26.38,6.61,Very_Low,339,24.6,57.0,Ambient,Long_Distance,Aluminum_Laminate,102,Very_Low,Very_Low,No,4.38,False,
F00043,Tomato,Fresh Produce,90.5,0.26,0.88,4.33,High,14,5.1,81.0,Chilled,Refrigerated,Micro_Perforated_PE,37,High,High,Yes,90.5,False,
F00044,Apple,Fresh Produce,90.63,0.12,0.39,3.52,High,67,4.6,78.0,Chilled,Long_Distance,Micro_Perforated_PE,37,High,High,Yes,90.63,False,
F00045,Biscuits,Bakery,3.59,17.7,6.83,6.84,Very_Low,177,24.2,73.0,Ambient,Long_Distance,BOPP_PE,53,Low,Low,No,3.59,False,
F00046,Fresh Chicken,Meat,73.34,8.35,23.48,5.78,Very_Low,5,3.9,87.0,Chilled,Refrigerated,PA_PE_Vacuum,85,Low,Very_Low,Yes,73.34,True,Proximate sum > 100%; 
F00047,Frozen Peas,Frozen Vegetable,81.28,0.36,5.29,6.21,Low,371,-16.1,87.0,Frozen,Normal,PE_Film,71,Medium,Low,Yes,81.28,False,
F00048,Coffee Powder,Beverage,2.86,15.28,13.55,4.98,Very_Low,367,25.3,65.0,Ambient,Long_Distance,Metallized_PET_PE,74,Very_Low,Very_Low,No,2.86,False,
F00049,Peanuts,Nuts,6.0,48.37,25.96,6.49,Very_Low,188,24.7,63.0,Ambient,Normal,Metallized_PET_PE,87,Very_Low,Very_Low,No,6.0,False,
F00050,Cheese,Dairy,38.38,33.87,24.67,5.16,Very_Low,55,4.7,92.0,Chilled,Normal,PA_PE_Vacuum,89,Low,Very_Low,Yes,38.38,False,
F00051,Bread,Bakery,39.43,4.01,9.44,5.33,Very_Low,5,25.0,63.0,Ambient,Normal,LDPE_Bag,50,Medium,Medium,No,39.43,False,
F00052,Mango,Fresh Produce,81.59,0.34,0.62,4.11,High,19,11.0,70.0,Chilled,Normal,Breathable_PE,47,High,High,Yes,81.59,False,
F00053,Carrot,Fresh Produce,87.86,0.3,0.8,6.06,High,29,4.6,84.0,Chilled,Long_Distance,Micro_Perforated_PE,35,High,High,Yes,87.86,False,
F00054,Onion,Vegetable,86.29,0.0,1.1,5.39,Low,121,21.0,56.0,Ambient,Normal,Breathable_PP,45,High,Medium,Yes,86.29,False,
F00055,Rice,Grain,12.26,0.64,6.85,6.57,Very_Low,355,24.4,78.0,Ambient,Normal,HDPE,78,Low,Low,No,12.26,False,
F00056,Wheat Flour,Grain,12.53,1.53,13.16,6.01,Very_Low,184,25.3,50.0,Ambient,Long_Distance,HDPE,72,Low,Low,No,12.53,False,
F00057,Ground Coffee,Beverage,2.77,14.36,13.73,4.87,Very_Low,396,25.4,59.0,Ambient,Normal,High_Barrier_Laminate,97,Very_Low,Very_Low,No,2.77,False,
F00058,Butter,Dairy,16.63,82.35,1.21,6.37,Very_Low,108,4.5,90.0,Chilled,Long_Distance,Aluminum_Foil_Laminate,89,Very_Low,Very_Low,No,16.63,True,Proximate sum > 100%; 
F00059,Yogurt,Dairy,86.98,2.84,4.06,4.38,Very_Low,30,2.9,91.0,Chilled,Refrigerated,PP_Cup_Foil_Lid,51,Medium,Low,Yes,86.98,False,
F00060,Fish,Seafood,73.92,5.11,20.3,6.08,Very_Low,5,2.4,71.0,Chilled,Normal,PA_PE_Vacuum,93,Low,Very_Low,Yes,73.92,False,
F00061,Potato Chips,Snacks,1.83,29.1,6.05,5.87,Very_Low,176,24.8,47.0,Ambient,Normal,Metallized_PET_PE,84,Low,Very_Low,Yes,1.83,False,
F00062,Milk Powder,Dairy,4.23,26.01,26.69,6.4,Very_Low,351,23.9,75.0,Ambient,Long_Distance,Aluminum_Laminate,110,Very_Low,Very_Low,No,4.23,False,
F00063,Tomato,Fresh Produce,97.39,0.14,0.98,4.16,High,15,5.7,65.0,Chilled,Long_Distance,Micro_Perforated_PE,36,High,High,Yes,97.39,False,
F00064,Apple,Fresh Produce,84.8,0.35,0.25,3.35,High,61,5.2,89.0,Chilled,Long_Distance,Micro_Perforated_PE,43,High,High,Yes,84.8,False,
F00065,Biscuits,Bakery,3.87,18.25,7.14,6.85,Very_Low,178,25.3,73.0,Ambient,Long_Distance,BOPP_PE,64,Low,Low,No,3.87,False,
F00066,Fresh Chicken,Meat,68.33,7.76,21.71,5.76,Very_Low,5,4.8,87.0,Chilled,Refrigerated,PA_PE_Vacuum,89,Low,Very_Low,Yes,68.33,False,
F00067,Frozen Peas,Frozen Vegetable,77.52,0.41,5.44,6.02,Low,331,-18.8,92.0,Frozen,Long_Distance,PE_Film,75,Medium,Low,Yes,77.52,False,
F00068,Coffee Powder,Beverage,3.15,15.56,14.41,5.01,Very_Low,356,25.2,51.0,Ambient,Normal,Metallized_PET_PE,76,Very_Low,Very_Low,No,3.15,False,
F00069,Peanuts,Nuts,5.89,48.37,24.96,6.72,Very_Low,176,25.1,42.0,Ambient,Normal,Metallized_PET_PE,83,Very_Low,Very_Low,No,5.89,False,
F00070,Cheese,Dairy,36.75,32.03,24.67,5.25,Very_Low,62,3.5,91.0,Chilled,Refrigerated,PA_PE_Vacuum,97,Low,Very_Low,Yes,36.75,False,
F00071,Bread,Bakery,39.62,4.06,9.32,5.54,Very_Low,7,25.2,56.0,Ambient,Long_Distance,LDPE_Bag,43,Medium,Medium,No,39.62,False,
F00072,Mango,Fresh Produce,84.38,0.66,0.78,4.01,High,23,10.3,86.0,Chilled,Long_Distance,Breathable_PE,42,High,High,Yes,84.38,False,
F00073,Carrot,Fresh Produce,86.67,0.33,0.84,5.94,High,31,4.8,75.0,Chilled,Refrigerated,Micro_Perforated_PE,35,High,High,Yes,86.67,False,
F00074,Onion,Vegetable,85.23,0.25,1.08,5.45,Low,114,19.2,66.0,Ambient,Long_Distance,Breathable_PP,50,High,Medium,Yes,85.23,False,
F00075,Rice,Grain,11.53,0.42,7.03,6.59,Very_Low,374,24.2,68.0,Ambient,Normal,HDPE,77,Low,Low,No,11.53,False,
F00076,Wheat Flour,Grain,11.69,1.55,12.69,6.08,Very_Low,180,25.1,54.0,Ambient,Normal,HDPE,81,Low,Low,No,11.69,False,
F00077,Ground Coffee,Beverage,3.4,14.85,13.81,4.75,Very_Low,339,25.7,62.0,Ambient,Normal,High_Barrier_Laminate,96,Very_Low,Very_Low,No,3.4,False,
F00078,Butter,Dairy,15.9,84.65,0.73,6.33,Very_Low,127,3.0,82.0,Chilled,Normal,Aluminum_Foil_Laminate,88,Very_Low,Very_Low,No,15.9,True,Proximate sum > 100%; 
F00079,Yogurt,Dairy,87.24,2.98,4.06,4.36,Very_Low,32,4.1,82.0,Chilled,Normal,PP_Cup_Foil_Lid,55,Medium,Low,Yes,87.24,False,
F00080,Fish,Seafood,73.68,4.89,20.06,6.18,Very_Low,6,1.5,82.0,Chilled,Long_Distance,PA_PE_Vacuum,89,Low,Very_Low,Yes,73.68,False,
F00081,Potato Chips,Snacks,2.37,30.38,5.95,6.07,Very_Low,175,24.9,70.0,Ambient,Normal,Metallized_PET_PE,84,Low,Very_Low,Yes,2.37,False,
F00082,Milk Powder,Dairy,3.5,27.38,25.03,6.5,Very_Low,389,24.1,66.0,Ambient,Long_Distance,Aluminum_Laminate,93,Very_Low,Very_Low,No,3.5,False,
F00083,Tomato,Fresh Produce,93.51,0.33,0.86,4.36,High,14,4.5,84.0,Chilled,Normal,Micro_Perforated_PE,42,High,High,Yes,93.51,False,
F00084,Apple,Fresh Produce,90.9,0.0,0.39,3.63,High,56,4.8,76.0,Chilled,Long_Distance,Micro_Perforated_PE,49,High,High,Yes,90.9,False,
F00085,Biscuits,Bakery,3.61,18.05,6.66,7.07,Very_Low,198,25.4,56.0,Ambient,Long_Distance,BOPP_PE,63,Low,Low,No,3.61,False,
F00086,Fresh Chicken,Meat,71.24,7.84,23.63,5.69,Very_Low,6,3.3,95.0,Chilled,Normal,PA_PE_Vacuum,89,Low,Very_Low,Yes,71.24,True,Proximate sum > 100%; 
F00087,Frozen Peas,Frozen Vegetable,75.36,0.27,5.3,6.2,Low,374,-18.7,86.0,Frozen,Long_Distance,PE_Film,66,Medium,Low,Yes,75.36,False,
F00088,Coffee Powder,Beverage,3.25,14.94,14.31,5.18,Very_Low,363,25.3,45.0,Ambient,Normal,Metallized_PET_PE,79,Very_Low,Very_Low,No,3.25,False,
F00089,Peanuts,Nuts,6.18,46.77,25.0,6.42,Very_Low,165,25.5,57.0,Ambient,Normal,Metallized_PET_PE,81,Very_Low,Very_Low,No,6.18,False,
F00090,Cheese,Dairy,36.03,31.24,25.58,5.39,Very_Low,58,4.0,82.0,Chilled,Refrigerated,PA_PE_Vacuum,87,Low,Very_Low,Yes,36.03,False,
F00091,Bread,Bakery,37.93,4.07,9.05,5.34,Very_Low,7,25.3,64.0,Ambient,Long_Distance,LDPE_Bag,55,Medium,Medium,No,37.93,False,
F00092,Mango,Fresh Produce,84.08,0.4,0.83,4.09,High,21,10.1,82.0,Chilled,Refrigerated,Breathable_PE,41,High,High,Yes,84.08,False,
F00093,Carrot,Fresh Produce,83.7,0.17,0.94,5.93,High,30,4.9,95.0,Chilled,Refrigerated,Micro_Perforated_PE,38,High,High,Yes,83.7,False,
F00094,Onion,Vegetable,89.06,0.1,1.19,5.44,Low,121,19.8,56.0,Ambient,Long_Distance,Breathable_PP,48,High,Medium,Yes,89.06,False,
F00095,Rice,Grain,12.02,0.8,6.56,6.35,Very_Low,389,25.2,76.0,Ambient,Normal,HDPE,82,Low,Low,No,12.02,False,
F00096,Wheat Flour,Grain,12.26,1.53,12.47,6.17,Very_Low,186,25.0,69.0,Ambient,Normal,HDPE,77,Low,Low,No,12.26,False,
F00097,Ground Coffee,Beverage,2.99,14.75,13.33,5.07,Very_Low,350,24.9,62.0,Ambient,Normal,High_Barrier_Laminate,80,Very_Low,Very_Low,No,2.99,False,
F00098,Butter,Dairy,15.83,80.32,0.87,6.09,Very_Low,114,3.6,84.0,Chilled,Normal,Aluminum_Foil_Laminate,91,Very_Low,Very_Low,No,15.83,False,
F00099,Yogurt,Dairy,84.93,2.97,4.07,4.22,Very_Low,31,4.1,83.0,Chilled,Normal,PP_Cup_Foil_Lid,47,Medium,Low,Yes,84.93,False,
F00100,Fish,Seafood,77.19,5.24,19.06,6.21,Very_Low,4,1.7,89.0,Chilled,Long_Distance,PA_PE_Vacuum,87,Low,Very_Low,Yes,77.19,True,Proximate sum > 100%; 
F00101,Potato Chips,Snacks,2.15,31.07,6.02,6.02,Very_Low,186,26.2,60.0,Ambient,Long_Distance,Metallized_PET_PE,71,Low,Very_Low,Yes,2.15,False,
F00102,Milk Powder,Dairy,3.75,26.37,25.57,6.68,Very_Low,369,24.2,72.0,Ambient,Long_Distance,Aluminum_Laminate,109,Very_Low,Very_Low,No,3.75,False,
F00103,Tomato,Fresh Produce,89.67,0.11,0.88,4.09,High,14,4.9,86.0,Chilled,Long_Distance,Micro_Perforated_PE,41,High,High,Yes,89.67,False,
F00104,Apple,Fresh Produce,82.24,0.07,0.39,3.39,High,57,5.0,90.0,Chilled,Normal,Micro_Perforated_PE,35,High,High,Yes,82.24,False,
F00105,Biscuits,Bakery,4.01,18.56,7.03,7.1,Very_Low,185,26.0,63.0,Ambient,Long_Distance,BOPP_PE,63,Low,Low,No,4.01,False,
F00106,Fresh Chicken,Meat,73.06,8.27,23.57,5.86,Very_Low,6,4.6,95.0,Chilled,Refrigerated,PA_PE_Vacuum,93,Low,Very_Low,Yes,73.06,True,Proximate sum > 100%; 
F00107,Frozen Peas,Frozen Vegetable,81.05,0.39,5.44,6.18,Low,350,-17.1,90.0,Frozen,Long_Distance,PE_Film,61,Medium,Low,Yes,81.05,False,
F00108,Coffee Powder,Beverage,3.23,14.39,14.63,5.03,Very_Low,370,24.8,64.0,Ambient,Normal,Metallized_PET_PE,80,Very_Low,Very_Low,No,3.23,False,
F00109,Peanuts,Nuts,5.64,48.41,25.58,6.58,Very_Low,185,24.7,66.0,Ambient,Long_Distance,Metallized_PET_PE,85,Very_Low,Very_Low,No,5.64,False,
F00110,Cheese,Dairy,38.11,31.49,24.58,5.25,Very_Low,65,4.0,80.0,Chilled,Long_Distance,PA_PE_Vacuum,99,Low,Very_Low,Yes,38.11,False,
F00111,Bread,Bakery,38.64,3.99,9.35,5.51,Very_Low,8,24.8,54.0,Ambient,Normal,LDPE_Bag,54,Medium,Medium,No,38.64,False,
F00112,Mango,Fresh Produce,83.53,0.29,0.79,4.08,High,20,10.8,92.0,Chilled,Refrigerated,Breathable_PE,39,High,High,Yes,83.53,False,
F00113,Carrot,Fresh Produce,86.28,0.26,0.94,6.08,High,28,6.3,75.0,Chilled,Normal,Micro_Perforated_PE,41,High,High,Yes,86.28,False,
F00114,Onion,Vegetable,89.76,0.15,1.16,5.55,Low,124,20.7,61.0,Ambient,Long_Distance,Breathable_PP,54,High,Medium,Yes,89.76,False,
F00115,Rice,Grain,12.49,0.85,7.08,6.31,Very_Low,355,24.8,49.0,Ambient,Long_Distance,HDPE,86,Low,Low,No,12.49,False,
F00116,Wheat Flour,Grain,11.81,1.6,12.89,6.1,Very_Low,178,24.7,79.0,Ambient,Long_Distance,HDPE,78,Low,Low,No,11.81,False,
F00117,Ground Coffee,Beverage,3.36,15.33,14.39,5.1,Very_Low,359,25.0,48.0,Ambient,Normal,High_Barrier_Laminate,90,Very_Low,Very_Low,No,3.36,False,
F00118,Butter,Dairy,15.91,81.07,1.02,5.95,Very_Low,119,3.7,76.0,Chilled,Refrigerated,Aluminum_Foil_Laminate,89,Very_Low,Very_Low,No,15.91,False,
F00119,Yogurt,Dairy,88.37,2.9,4.04,4.42,Very_Low,33,4.7,72.0,Chilled,Long_Distance,PP_Cup_Foil_Lid,54,Medium,Low,Yes,88.37,False,
F00120,Fish,Seafood,77.37,5.08,19.8,6.49,Very_Low,6,3.0,95.0,Chilled,Refrigerated,PA_PE_Vacuum,92,Low,Very_Low,Yes,77.37,True,Proximate sum > 100%; 
F00121,Potato Chips,Snacks,2.12,31.96,5.93,6.22,Very_Low,171,24.7,64.0,Ambient,Normal,Metallized_PET_PE,86,Low,Very_Low,Yes,2.12,False,
F00122,Milk Powder,Dairy,3.61,26.93,25.62,6.97,Very_Low,362,24.6,56.0,Ambient,Normal,Aluminum_Laminate,93,Very_Low,Very_Low,No,3.61,False,
F00123,Tomato,Fresh Produce,94.39,0.03,0.94,4.38,High,14,5.8,75.0,Chilled,Long_Distance,Micro_Perforated_PE,33,High,High,Yes,94.39,False,
F00124,Apple,Fresh Produce,86.48,0.3,0.47,3.44,High,63,5.0,83.0,Chilled,Long_Distance,Micro_Perforated_PE,44,High,High,Yes,86.48,False,
F00125,Biscuits,Bakery,3.62,17.16,7.26,6.98,Very_Low,187,24.6,73.0,Ambient,Long_Distance,BOPP_PE,52,Low,Low,No,3.62,False,
F00126,Fresh Chicken,Meat,72.58,7.93,21.86,5.79,Very_Low,5,4.5,67.0,Chilled,Long_Distance,PA_PE_Vacuum,91,Low,Very_Low,Yes,72.58,True,Proximate sum > 100%; 
F00127,Frozen Peas,Frozen Vegetable,79.53,0.33,5.26,6.0,Low,396,-16.5,73.0,Frozen,Normal,PE_Film,67,Medium,Low,Yes,79.53,False,
F00128,Coffee Powder,Beverage,3.02,14.42,14.42,4.94,Very_Low,337,24.8,72.0,Ambient,Long_Distance,Metallized_PET_PE,84,Very_Low,Very_Low,No,3.02,False,
F00129,Peanuts,Nuts,5.61,46.78,23.77,6.64,Very_Low,193,25.1,56.0,Ambient,Normal,Metallized_PET_PE,89,Very_Low,Very_Low,No,5.61,False,
F00130,Cheese,Dairy,36.72,33.38,24.75,5.13,Very_Low,60,3.7,83.0,Chilled,Normal,PA_PE_Vacuum,85,Low,Very_Low,Yes,36.72,False,
F00131,Bread,Bakery,39.63,4.09,8.87,5.21,Very_Low,5,25.3,43.0,Ambient,Long_Distance,LDPE_Bag,51,Medium,Medium,No,39.63,False,
F00132,Mango,Fresh Produce,86.33,0.3,0.86,3.87,High,20,11.0,83.0,Chilled,Long_Distance,Breathable_PE,41,High,High,Yes,86.33,False,
F00133,Carrot,Fresh Produce,87.77,0.2,0.97,5.94,High,31,5.3,86.0,Chilled,Normal,Micro_Perforated_PE,39,High,High,Yes,87.77,False,
F00134,Onion,Vegetable,90.38,0.11,1.15,5.62,Low,109,20.5,62.0,Ambient,Normal,Breathable_PP,44,High,Medium,Yes,90.38,False,
F00135,Rice,Grain,11.98,0.73,7.07,6.55,Very_Low,394,25.2,58.0,Ambient,Long_Distance,HDPE,85,Low,Low,No,11.98,False,
F00136,Wheat Flour,Grain,11.97,1.58,13.31,6.05,Very_Low,167,24.6,49.0,Ambient,Normal,HDPE,86,Low,Low,No,11.97,False,
F00137,Ground Coffee,Beverage,2.62,14.26,13.63,5.19,Very_Low,337,24.8,49.0,Ambient,Long_Distance,High_Barrier_Laminate,87,Very_Low,Very_Low,No,2.62,False,
F00138,Butter,Dairy,15.52,81.76,1.13,6.28,Very_Low,139,4.0,71.0,Chilled,Refrigerated,Aluminum_Foil_Laminate,91,Very_Low,Very_Low,No,15.52,False,
F00139,Yogurt,Dairy,89.22,2.78,4.1,4.52,Very_Low,32,4.0,92.0,Chilled,Normal,PP_Cup_Foil_Lid,49,Medium,Low,Yes,89.22,False,
F00140,Fish,Seafood,74.53,5.06,19.89,6.27,Very_Low,5,1.5,78.0,Chilled,Refrigerated,PA_PE_Vacuum,85,Low,Very_Low,Yes,74.53,False,
F00141,Potato Chips,Snacks,2.02,30.69,5.85,6.22,Very_Low,174,25.8,51.0,Ambient,Long_Distance,Metallized_PET_PE,80,Low,Very_Low,Yes,2.02,False,
F00142,Milk Powder,Dairy,4.03,24.96,25.53,6.64,Very_Low,336,25.2,59.0,Ambient,Normal,Aluminum_Laminate,103,Very_Low,Very_Low,No,4.03,False,
F00143,Tomato,Fresh Produce,93.9,0.32,0.8,4.31,High,17,5.2,89.0,Chilled,Long_Distance,Micro_Perforated_PE,46,High,High,Yes,93.9,False,
F00144,Apple,Fresh Produce,87.59,0.17,0.33,3.68,High,57,4.5,90.0,Chilled,Refrigerated,Micro_Perforated_PE,42,High,High,Yes,87.59,False,
F00145,Biscuits,Bakery,3.8,18.15,6.82,7.26,Very_Low,169,25.2,65.0,Ambient,Normal,BOPP_PE,62,Low,Low,No,3.8,False,
F00146,Fresh Chicken,Meat,69.64,8.03,22.27,5.71,Very_Low,6,3.4,90.0,Chilled,Normal,PA_PE_Vacuum,83,Low,Very_Low,Yes,69.64,False,
F00147,Frozen Peas,Frozen Vegetable,79.62,0.4,5.47,6.11,Low,339,-19.9,92.0,Frozen,Normal,PE_Film,76,Medium,Low,Yes,79.62,False,
F00148,Coffee Powder,Beverage,3.31,14.77,13.31,5.13,Very_Low,368,25.1,66.0,Ambient,Long_Distance,Metallized_PET_PE,73,Very_Low,Very_Low,No,3.31,False,
F00149,Peanuts,Nuts,5.83,47.51,24.51,6.35,Very_Low,180,24.6,61.0,Ambient,Long_Distance,Metallized_PET_PE,72,Very_Low,Very_Low,No,5.83,False,
F00150,Cheese,Dairy,38.56,33.86,24.82,5.02,Very_Low,56,3.3,84.0,Chilled,Long_Distance,PA_PE_Vacuum,91,Low,Very_Low,Yes,38.56,False,
F00151,Bread,Bakery,38.53,4.01,9.15,5.39,Very_Low,7,24.3,59.0,Ambient,Long_Distance,LDPE_Bag,45,Medium,Medium,No,38.53,False,
F00152,Mango,Fresh Produce,83.96,0.44,0.71,3.97,High,22,10.4,91.0,Chilled,Long_Distance,Breathable_PE,34,High,High,Yes,83.96,False,
F00153,Carrot,Fresh Produce,89.79,0.13,0.93,6.12,High,28,5.0,79.0,Chilled,Normal,Micro_Perforated_PE,34,High,High,Yes,89.79,False,
F00154,Onion,Vegetable,84.91,0.15,0.99,5.24,Low,122,21.2,59.0,Ambient,Long_Distance,Breathable_PP,54,High,Medium,Yes,84.91,False,
